pdgid,particle,antiparticle
100221,\eta(1295),\eta(1295)
100223,\omega(1420),\omega(1420)
100311,K(1460)^{0},K(1460)^{0}
100313,K^{*}(1410)^{0},K^{*}(1410)^{0}
100315,K_{2}^{*}(1980)^{0},K_{2}^{*}(1980)^{0}
100321,K(1460)^{+},K(1460)^{-}
100323,K^{*}(1410)^{+},K^{*}(1410)^{-}
100325,K_{2}^{*}(1980)^{+},K_{2}^{*}(1980)^{-}
100331,\eta(1475),\eta(1475)
100333,\phi(1680),\phi(1680)
100441,\eta_c(2S),\eta_c(2S)
100443,\psi(2S)/\psi^\prime,\psi(2S)/\psi^\prime
100445,\chi_{c2}(2P),\chi_{c2}(2P)
100553,\Upsilon(2S)/\Upsilon^\prime,\Upsilon(2S)/\Upsilon^\prime
100555,\chi_{b2}(2P),\chi_{b2}(2P)
110551,\chi_{b0}(2P),\chi_{b0}(2P)
120553,\chi_{b1}(2P),\chi_{b1}(2P)
200553,\Upsilon(3S),\Upsilon(3S)
300553,\Upsilon(4S),\Upsilon(4S)
9000111,a_{0}(980)^{0},a_{0}(980)^{0}
9000113,\pi_{1}(1400)^{0},\pi_{1}(1400)^{0}
9000115,\pi_{2}(2100)^{0},\pi_{2}(2100)^{0}
9000117,\rho_3(1990)^{0},\rho_3(1990)^{0}
9000211,a_{0}(980)^{+},a_{0}(980)^{-}
9000213,\pi_{1}(1400)^{+},\pi_{1}(1400)^{-}
9000215,\pi_{2}(2100)^{+},\pi_{2}(2100)^{-}
9000217,\rho_3(1990)^{+},\rho_3(1990)^{-}
9000221,f_{0}(600),f_{0}(600)
9000223,f_{1}(1510),f_{1}(1510)
9000225,f_{2}(1430),f_{2}(1430)
9000229,f_J(2220),f_J(2220)
9000311,K_{0}^{*}(800)^{0},K_{0}^{*}(800)^{0}
9000313,K_{1}(1650)^{0},K_{1}(1650)^{0}
9000315,K_{2}(1580)^{0},K_{2}(1580)^{0}
9000319,K_4(2500)^{0},K_4(2500)^{0}
9000321,K_{0}^{*}(800)^{+},K_{0}^{*}(800)^{-}
9000323,K_{1}(1650)^{+},K_{1}(1650)^{-}
9000325,K_{2}(1580)^{+},K_{2}(1580)^{-}
9000329,K_4(2500)^{+},K_4(2500)^{-}
9000443,\psi(4040),\psi(4040)
9000553,\Upsilon(10860),\Upsilon(10860)
9010111,\pi(1800)^{0},\pi(1800)^{0}
9010113,\pi_{1}(1600)^{0},\pi_{1}(1600)^{0}
9010117,\rho_3(2250)^{0},\rho_3(2250)^{0}
9010211,\pi(1800)^{+},\pi(1800)^{-}
9010213,\pi_{1}(1600)^{+},\pi_{1}(1600)^{-}
9010217,\rho_3(2250)^{+},\rho_3(2250)^{-}
9010221,f_{0}(980),f_{0}(980)
9010223,h_{1}(1595),h_{1}(1595)
9010225,f_{2}(1565),f_{2}(1565)
9010229,f_4(2300),f_4(2300)
9010311,K(1830)^{0},K(1830)^{0}
9010315,K_{2}(2250)^{0},K_{2}(2250)^{0}
9010317,K_3(2320)^{0},K_3(2320)^{0}
9010321,K(1830)^{+},K(1830)^{-}
9010325,K_{2}(2250)^{+},K_{2}(2250)^{-}
9010327,K_3(2320)^{+},K_3(2320)^{-}
9010443,\psi(4160),\psi(4160)
9010553,\Upsilon(11020),\Upsilon(11020)
9020113,a_{1}(1640)^{0},a_{1}(1640)^{0}
9020213,a_{1}(1640)^{+},a_{1}(1640)^{-}
9020221,\eta(1405),\eta(1405)
9020225,f_{2}(1640),f_{2}(1640)
9020311,K_{0}^{*}(1950)^{0},K_{0}^{*}(1950)^{0}
9020321,K_{0}^{*}(1950)^{+},K_{0}^{*}(1950)^{-}
9020443,\psi(4415),\psi(4415)
9030113,\rho(1900)^{0},\rho(1900)^{0}
9030213,\rho(1900)^{+},\rho(1900)^{-}
9040113,\rho(2150)^{0},\rho(2150)^{0}
9040213,\rho(2150)^{+},\rho(2150)^{-}
9030221,f_{0}(1500),f_{0}(1500)
9030225,f_{2}(1810),f_{2}(1810)
9040221,\eta(1760),\eta(1760)
9040225,f_{2}(1910),f_{2}(1910)
9050221,f_{0}(2020),f_{0}(2020)
9050225,f_{2}(1950),f_{2}(1950)
9060221,f_{0}(2100),f_{0}(2100)
9060225,f_{2}(2010),f_{2}(2010)
9070221,f_{0}(2200),f_{0}(2200)
9070225,f_{2}(2150),f_{2}(2150)
9080221,\eta(2225),\eta(2225)
9080225,f_{2}(2300),f_{2}(2300)
9090225,f_{2}(2340),f_{2}(2340)
9090221,f_{0}(2330),f_{0}(2330)
998100,\left[\pi^{+}\pi^{-}\right]^{L=0}_{0},\left[\pi^{+}\pi^{-}\right]^{L=0}_{0}
998101,\left[\pi^{+}\pi^{-}\right]^{L=0}_{1},\left[\pi^{+}\pi^{-}\right]^{L=0}_{1}
998102,\left[\pi^{+}\pi^{-}\right]^{L=0}_{2},\left[\pi^{+}\pi^{-}\right]^{L=0}_{2}
998103,\left[\pi^{+}\pi^{-}\right]^{L=0}_{3},\left[\pi^{+}\pi^{-}\right]^{L=0}_{3}
998104,\left[\pi^{+}\pi^{-}\right]^{L=0}_{4},\left[\pi^{+}\pi^{-}\right]^{L=0}_{4}
998105,\left[\pi^{+}\pi^{-}\right]^{L=0}_{5},\left[\pi^{+}\pi^{-}\right]^{L=0}_{5}
998106,\left[\pi^{+}\pi^{-}\right]^{L=0}_{6},\left[\pi^{+}\pi^{-}\right]^{L=0}_{6}
998110,\left[K^{-}\pi^{+}\right]^{L=0}_{0},\left[K^{+}\pi^{-}\right]^{L=0}_{0}
998111,\left[K^{-}\pi^{+}\right]^{L=0}_{1},\left[K^{+}\pi^{-}\right]^{L=0}_{1}
998112,\left[K^{-}\pi^{+}\right]^{L=0}_{2},\left[K^{+}\pi^{-}\right]^{L=0}_{2}
998113,\left[K^{-}\pi^{+}\right]^{L=0}_{3},\left[K^{+}\pi^{-}\right]^{L=0}_{3}
998114,\left[K^{-}\pi^{+}\right]^{L=0}_{4},\left[K^{+}\pi^{-}\right]^{L=0}_{4}
998115,\left[K^{-}\pi^{+}\right]^{L=0}_{5},\left[K^{+}\pi^{-}\right]^{L=0}_{5}
998116,\left[K^{-}\pi^{+}\right]^{L=0}_{6},\left[K^{+}\pi^{-}\right]^{L=0}_{6}
