# (c) Scikit-HEP project - Particle package data file - pdgid_to_latexname.csv - version 13 - 2023-07-03
PDGID,LATEXNAME
30313,K^{*}(1680)^{0}
30323,K^{*}(1680)^{+}
30343,X_{sd}
30353,X_{su}
30363,X_{ss}
30443,\psi(3770)
30553,\Upsilon_{1}(1D)
31114,\Delta(1600)^{-}
31214,N(1720)^{0}
32112,N(1650)^{0}
32114,\Delta(1600)^{0}
32124,N(1720)^{+}
32212,N(1650)^{+}
32214,\Delta(1600)^{+}
32224,\Delta(1600)^{++}
33122,\Lambda(1670)
41214,N(1900)^{0}
42112,N(1710)^{0}
42124,N(1900)^{+}
42212,N(1710)^{+}
43122,\Lambda(1800)
52114,N(2090)^{0}
52214,N(2090)^{+}
53122,\Lambda(1810)
100111,\pi(1300)^{0}
100113,\rho(1450)^{0}
100211,\pi(1300)^{+}
100213,\rho(1450)^{+}
100221,\eta(1295)
100223,\omega(1420)
100311,K(1460)^{0}
100313,K^{*}(1410)^{0}
100321,K(1460)^{+}
100323,K^{*}(1410)^{+}
100331,\eta(1475)
100333,\phi(1680)
100411,D(2S)^{+}
100413,D^{*}(2640)^{+}
100421,D(2S)^{0}
100423,D^{*}(2640)^{0}
100441,\eta_{c}(2S)
100443,\psi(2S)
100445,\chi_{c2}(2P)
100551,\eta_{b}(2S)
100553,\Upsilon(2S)
100555,\chi_{b2}(2P)
100557,\Upsilon_{3}(2D)
103112,\Sigma(2250)^{-}
103212,\Sigma(2250)^{0}
103222,\Sigma(2250)^{+}
103316,\Xi(1950)^{-}
103326,\Xi(1950)^{0}
104122,\Lambda_{c}(2625)^{+}
104312,\Xi_{c}(2815)^{0}
104314,\Xi_{c}(2790)^{0}
104322,\Xi_{c}(2815)^{+}
104324,\Xi_{c}(2790)^{+}
110551,\chi_{b0}(2P)
110553,h_{b}(2P)
110555,\eta_{b2}(2D)
120553,\chi_{b1}(2P)
120555,\Upsilon_2(2D)
130553,\Upsilon_1(2D)
200551,\eta_{b}(3S)
200553,\Upsilon(3S)
200555,\chi_{b2}(3P)
203312,\Xi(1690)^{-}
203316,\Xi(2030)^{-}
203322,\Xi(1690)^{0}
203326,\Xi(2030)^{0}
203338,\Omega(2250)^{-}
204126,\Lambda_{c}(2880)^{+}
210551,\chi_{b0}(3P)
210553,h_{b}(3P)
220553,\chi_{b1}(3P)
300553,\Upsilon(4S)
1000001,\tilde{d}_{L}
1000002,\tilde{u}_{L}
1000003,\tilde{s}_{L}
1000004,\tilde{c}_{L}
1000005,\tilde{b}_{1}
1000006,\tilde{t}_{1}
1000011,\tilde{e}_{L}^{-}
1000012,\tilde{\nu}_{eL}
1000013,\tilde{\mu}_{L}^{-}
1000014,\tilde{\nu}_{\mu L}
1000015,\tilde{\tau}_{1}^{-}
1000016,\tilde{\nu}_{\tau L}
1000021,\tilde{g}
1000022,\tilde{\chi}_{1}^{0}
1000023,\tilde{\chi}_{2}^{0}
1000024,\tilde{\chi}_{1}^{+}
1000025,\tilde{\chi}_{3}^{0}
1000035,\tilde{\chi}_{4}^{0}
1000037,\tilde{\chi}_{2}^{+}
1000039,\tilde{G}
2000001,\tilde{d}_{R}
2000002,\tilde{u}_{R}
2000003,\tilde{s}_{R}
2000004,\tilde{c}_{R}
2000005,\tilde{b}_{2}
2000006,\tilde{t}_{2}
2000011,\tilde{e}_{R}^{-}
2000012,\tilde{\nu}_{eR}
2000013,\tilde{\mu}_{R}^{-}
2000014,\tilde{\nu}_{\mu R}
2000015,\tilde{\tau}_{2}^{-}
2000016,\tilde{\nu}_{\tau R}
3000111,\pi_{tc}^{0}
3000113,\rho_{tc}^{0}
3000211,\pi_{tc}^{+}
3000213,\rho_{tc}^{+}
3000221,\pi_{tc}^{\prime 0}
3000223,\omega_{tc}
3000331,\eta_{tc}
3100021,V_{8}
4000001,d^{*}
4000002,u^{*}
4000011,e^{*-}
4000012,\nu_{e}^{*0}
5000039,G^{*}
9000111,a_{0}(980)^{0}
9000113,\pi_{1}(1400)^{0}
9000115,a_{2}(1700)^{0}
9000117,\rho_{3}(1990)^{0}
9000211,a_{0}(980)^{+}
9000213,\pi_{1}(1400)^{+}
9000215,a_{2}(1700)^{+}
9000217,\rho_{3}(1990)^{+}
9000221,f_{0}(500)
9000223,f_{1}(1510)
9000225,f_{2}(1430)
9000229,f_{J}(2220)
9000311,K_{0}^{*}(700)^{0}
9000313,K_{1}(1650)^{0}
9000315,K_{2}(1580)^{0}
9000319,K_{4}(2500)^{0}
9000321,K_{0}^{*}(700)^{+}
9000323,K_{1}(1650)^{+}
9000325,K_{2}(1580)^{+}
9000329,K_{4}(2500)^{+}
9000443,\psi(4040)
9000553,\Upsilon(10860)
9010111,\pi(1800)^{0}
9010113,\pi_{1}(1600)^{0}
9010117,\rho_{3}(2250)^{0}
9010211,\pi(1800)^{+}
9010213,\pi_{1}(1600)^{+}
9010217,\rho_{3}(2250)^{+}
9010221,f_{0}(980)
9010223,h_{1}(1595)
9010225,f_{2}(1565)
9010229,f_{4}(2300)
9010311,K(1830)^{0}
9010315,K_{2}^{*}(1980)^{0}
9010317,K_{3}(2320)^{0}
9010321,K(1830)^{+}
9010325,K_{2}^{*}(1980)^{+}
9010327,K_{3}(2320)^{+}
9010443,\psi(4160)
9010553,\Upsilon(11020)
9020113,a_{1}(1640)^{0}
9020213,a_{1}(1640)^{+}
9020221,\eta(1405)
9020225,f_{2}(1640)
9020311,K_{0}^{*}(1950)^{0}
9020315,K_{2}(2250)^{0}
9020321,K_{0}^{*}(1950)^{+}
