# (c) Scikit-HEP project - Particle package data file - pdgid_to_lhcbname.csv - 2021-11-11
PDGID,STR
9900014,nu_Rmu
9900016,nu_Rtau
9900023,Z_R0
9900024,W_R+
-9900024,W_R-
9900041,H_L++
-9900041,H_L--
9900042,H_R++
-9900042,H_R--
9910445,X_2(3872)
9920443,X_1(3872)
-99000000,Intermediate
480000000,geantino
1000010020,deuteron
-1000010020,deuteron~
1000010030,triton
-1000010030,triton~
1000020030,He3[0.0]
-1000020030,He3~[0.0]
1000020040,alpha
-1000020040,alpha~
1000030070,Li7[0.0]
1000040080,Be8[0.0]
1000040090,Be9[0.0]
1000040100,Be10[0.0]
1000050100,B10[0.0]
1000050110,B11[0.0]
1000050120,B12[0.0]
1000060120,C12[0.0]
1000060130,C13[0.0]
1000060140,C14[0.0]
1000070140,N14[0.0]
1000070150,N15[0.0]
1000070160,N16[0.0]
1000080160,O16[0.0]
1000080170,O17[0.0]
1000080180,O18[0.0]
1000080190,O19[0.0]
1000090190,F19[0.0]
1000100220,Ne22[0.0]
1000100230,Ne23[0.0]
1000110240,Na24[0.0]
1000120240,Mg24[0.0]
1000120250,Mg25[0.0]
1000120260,Mg26[0.0]
1000120270,Mg27[0.0]
1000130270,Al27[0.0]
1000130280,Al28[0.0]
1000140280,Si28[0.0]
1000140290,Si29[0.0]
1000140300,Si30[0.0]
1000150310,P31[0.0]
1000170390,Cl39[0.0]
1000170400,Cl40[0.0]
1000180360,Ar36[0.0]
1000180400,Ar40[0.0]
1000240500,Cr50[0.0]
1000240520,Cr52[0.0]
1000240530,Cr53[0.0]
1000240540,Cr54[0.0]
1000250550,Mn55[0.0]
1000260540,Fe54[0.0]
1000260560,Fe56[0.0]
1000260570,Fe57[0.0]
1000260590,Fe59[0.0]
1000280580,Ni58[0.0]
1000280600,Ni60[0.0]
1000280610,Ni61[0.0]
1000280620,Ni62[0.0]
1000280630,Ni63[0.0]
1000280640,Ni64[0.0]
1000290630,Cu63[0.0]
1000290650,Cu65[0.0]
1000420920,Mo92[0.0]
1000420950,Mo95[0.0]
1000420960,Mo96[0.0]
1000420970,Mo97[0.0]
1000420980,Mo98[0.0]
1000421000,Mo100[0.0]
1000461080,Pd108[0.0]
1000791970,Au197[0.0]
1000822040,Pb204[0.0]
1000822060,Pb206[0.0]
1000822070,Pb207[0.0]
1000822080,Pb208[0.0]
